"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","资产规模","总发行量","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅"
"1","OILU","MICROSECTORS OIL & GAS EXP. & PROD. 3X LEVERAGED ETN","59.630","+4.980","9.11%","0.02%","96.57%","187.10%","0.000","0.000","0","0","82018","4815488","55.520","54.650","60.090","55.440","8.20","0.03","8.51","1.81","0.00%","55.120","0.000","0.86%","0.00%","56112.4","0","7.41","0.00","+0.470","0.000","5270.00万","1000000","8.18%","1.67%","15.74%","140.44%","140.44%"
"2","NRGU","MicroSectors美国石油指数每日三倍做多ETN","471.810","+38.310","8.84%","0.69%","89.76%","190.56%","0.000","0.000","0","0","170965","78514724","437.000","433.500","473.000","437.000","4.50","0.49","8.30","1.57","0.00%","433.000","475.110","-0.12%","0.70%","76221.98","33461.72","1.63","4.69","-0.500","+3.300","15.66亿","3800000","8.71%","5.12%","19.20%","142.68%","259.23%"
"3","ONG","DIREXION DAILY OIL SERVICES BULL 2X SHARES","41.475","+3.033","7.89%","-0.01%","59.29%","59.29%","0.000","0.000","0","0","23652","962486","39.000","38.442","41.625","39.000","5.91","-0.16","6.83","1.40","0.00%","0.000","35.000","0.00%","-15.61%","0","70","0.00","0.00","0.000","-6.475","1330.00万","400000","2.22%","-1.93%","1.89%","59.29%","59.29%"
"4","PALL","Abrdn Palladium ETF Trust","225.000","+16.000","7.66%","0.20%","26.16%","27.72%","0.000","0.000","0","0","202105","45516041","224.880","209.000","229.489","221.000","9.62","0.69","4.06","4.28","0.00%","225.000","227.000","7.66%","0.89%","512361.99","111944.24","2.44","1.76","+16.000","+2.000","4.37亿","2100000","6.17%","3.54%","-13.38%","19.71%","-10.14%"
"5","SOXS","Direxion每日半导体三倍做空ETF","49.080","+3.280","7.16%","-0.35%","40.23%","43.51%","0.000","0.000","0","0","9938022","479373743","46.820","45.800","49.310","46.700","180.69","-0.10","5.70","0.89","0.00%","46.720","49.250","2.01%","0.35%","1872464.286","698920.867","5.94","0.81","+0.920","+0.170","2.54亿","5500000","24.10%","40.63%","-5.98%","-23.79%","-44.60%"
"6","GDXU","MICROSECTORS GOLD MINERS 3X LEVERAGED ETN","18.010","+1.090","6.44%","-0.06%","65.23%","57.71%","0.000","0.000","0","0","655084","11700548","17.170","16.920","18.280","17.140","16.38","-0.39","6.74","1.11","0.00%","16.560","17.800","-2.13%","-1.17%","513.91","6548.4","2.38","2.22","-0.360","-0.210","6440.00万","4000000","0.39%","3.92%","5.82%","49.83%","-1.15%"
"7","LABD","Direxion每日标普生物技术三倍做空ETF","33.850","+2.000","6.28%","-0.41%","-0.65%","31.51%","0.000","0.000","0","0","4940566","162038450","32.020","31.850","34.090","31.480","197.62","0.03","8.20","0.89","0.00%","32.189","33.850","1.07%","0.00%","282692.972","1335539.186","3.08","2.25","+0.339","0.000","7730.00万","2500000","9.19%","-6.62%","-26.64%","48.53%","46.98%"
"8","PFIX","SIMPLIFY INTEREST RATE HEDGE ETF","56.500","+3.130","5.86%","0.20%","42.83%","50.52%","0.000","0.000","0","0","258153","14508835","54.230","53.370","57.640","54.090","6.62","0.04","6.65","1.16","0.00%","0.000","57.999","0.00%","2.65%","0","58","0.00","0.00","0.000","+1.499","1.93亿","3900000","18.18%","13.23%","26.00%","40.04%","12.92%"
"9","BERZ","MICROSECTORS FANG & INNOVATION -3X INVERSE LEVERAGED ETN","23.610","+1.270","5.68%","-0.25%","27.29%","32.63%","0.000","0.000","0","0","45744","1063362","22.660","22.340","23.720","22.660","15.25","-0.30","4.75","0.47","0.00%","22.600","0.000","1.16%","0.00%","14252","0","5.19","0.00","+0.260","0.000","669.99万","300000","14.50%","13.62%","-28.35%","14.00%","-4.99%"
"10","ERX","每日两倍做多能源ETF-Direxion","59.950","+3.130","5.51%","0.08%","56.81%","103.58%","0.000","0.000","0","0","6659157","394453944","57.130","56.820","60.230","57.130","54.14","0.03","5.46","1.28","0.00%","57.089","60.450","0.47%","0.83%","121324.225","2939913.981","1.13","1.00","+0.269","+0.500","6.82亿","12300000","6.29%","1.77%","8.17%","92.20%","159.51%"
"11","FNGD","MicroSectors FANG+ Index -3X Inverse Leveraged ETN","45.090","+2.340","5.47%","-0.53%","17.73%","16.09%","0.000","0.000","0","0","974621","43264307","44.030","42.750","45.430","43.400","57.33","-0.61","4.75","1.04","0.00%","43.610","45.500","2.01%","0.91%","151625.542","98029.25","4.02","0.86","+0.860","+0.410","6949.94万","1700000","13.63%","13.29%","-37.57%","8.39%","-24.60%"
"12","JNUG","每日两倍做多小型金矿指数-Direxion","81.450","+4.070","5.26%","-0.11%","29.53%","27.01%","0.000","0.000","0","0","845143","68631618","78.010","77.380","82.410","78.010","14.32","-0.36","5.69","1.11","0.00%","77.940","82.420","0.72%","1.19%","105071.81","97213.65","1.67","1.74","+0.560","+0.970","4.46亿","5900000","0.65%","-0.26%","1.52%","22.33%","-7.36%"
"13","DIG","二倍做多美国油气指数","151.720","+7.310","5.06%","-0.11%","55.54%","99.24%","0.000","0.000","0","0","80584","12154663","145.450","144.410","152.660","145.450","5.37","-0.03","4.99","1.44","0.00%","0.000","152.730","0.00%","0.67%","0","152.73","0.00","0.00","0.000","+1.010","2.13亿","1500000","5.52%","0.95%","8.78%","86.78%","159.76%"
"14","NUGT","每日两倍做多金矿指数ETF-Direxion","75.330","+3.530","4.92%","0.05%","50.78%","47.30%","0.000","0.000","0","0","2690071","201021409","72.700","71.800","75.970","72.700","26.37","-0.21","4.55","1.06","0.00%","72.670","76.100","1.21%","1.02%","127892.519","1169937.65","1.45","1.15","+0.870","+0.770","7.17亿","10200000","0.49%","4.41%","6.08%","48.35%","24.55%"
"15","SILX","ETFMG PRIME 2X DAILY JUNIOR SILVER MINERS ETF","6.155","+0.288","4.90%","-1.04%","24.07%","22.74%","0.000","0.000","0","0","16424","100561","5.910","5.868","6.220","5.910","3.29","-1.04","5.28","1.18","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","300.00万","500000","-1.04%","-3.39%","-2.61%","13.60%","-39.42%"
"16","WEBS","Direxion每日道琼斯互联网指数三倍做空ETF","25.470","+1.180","4.86%","0.00%","30.43%","49.71%","0.000","0.000","0","0","254864","6364692","24.530","24.290","25.560","24.370","25.49","-0.04","4.90","0.87","0.00%","23.720","26.060","-2.35%","2.32%","7836.8","58404.4","0.16","4.40","-0.570","+0.590","2450.00万","1000000","14.16%","7.11%","-26.09%","80.89%","33.21%"
"17","SPPP","Sprott Physical Platinum & Palladium Trust","16.650","+0.770","4.85%","-0.24%","20.04%","19.44%","0.000","0.000","0","0","251438","4190501","16.460","15.880","16.870","16.460","0.99","-0.03","2.58","2.43","0.00%","16.700","18.210","5.16%","9.37%","132.2","1516.97","4.41","8.23","+0.820","+1.560","0","25300000","2.52%","1.65%","-12.60%","7.63%","-14.53%"
"18","SSG","Proshares Ultrashort Semiconductors","22.920","+1.050","4.80%","-0.15%","21.91%","26.42%","0.000","0.000","0","0","30105","687600","22.230","21.870","23.070","22.230","30.11","-0.15","3.84","0.35","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","270.00万","100000","16.94%","26.00%","-8.03%","-20.35%","-39.24%"
"19","TECS","Direxion每日科技三倍做空ETF","35.370","+1.520","4.49%","-0.07%","16.50%","26.46%","0.000","0.000","0","0","1594565","55719651","34.420","33.850","35.570","34.150","54.99","-0.11","4.20","0.92","0.00%","34.240","35.400","1.15%","0.08%","58706.74","154296.21","2.87","0.79","+0.390","+0.030","9929.89万","2900000","11.30%","10.02%","-19.39%","-12.23%","-42.58%"
"20","GUSH","Direxion每日标普油气出口与生产2倍做多","180.510","+7.470","4.32%","-0.34%","58.27%","105.66%","0.000","0.000","0","0","1197865","214681472","174.910","173.040","183.000","173.990","21.39","-0.31","5.21","0.77","0.00%","175.000","181.500","1.13%","0.55%","237565.394","356528.257","2.31","0.57","+1.960","+0.990","9.55亿","5600000","1.79%","1.10%","21.97%","64.29%","165.85%"
"21","IEZ","iShares安硕美国石油设备与服务ETF","19.950","+0.790","4.12%","0.05%","31.52%","54.98%","0.000","0.000","0","0","698157","13833535","19.330","19.160","19.990","19.330","4.48","-0.05","3.45","0.91","0.00%","19.160","20.000","0.00%","0.25%","19.16","300","0.00","0.00","0.000","+0.050","2.97亿","15600000","1.17%","-0.25%","1.61%","29.87%","49.99%"
"22","SQQQ","ProShares三倍做空纳斯达克指数ETF","37.200","+1.460","4.09%","-0.43%","17.35%","25.25%","0.000","0.000","0","0","86242122","3172211724","36.290","35.740","37.440","36.055","103.78","-0.41","3.88","0.94","0.00%","36.300","37.390","1.57%","0.51%","38728856.027","34381248.103","3.69","0.78","+0.560","+0.190","29.92亿","83100000","10.12%","7.36%","-23.36%","-1.72%","-33.03%"
"23","OIH","油服ETF-Market Vectors","292.150","+11.430","4.07%","0.05%","33.06%","58.06%","0.000","0.000","0","0","1022022","296304548","282.460","280.720","292.950","282.460","7.30","0.03","3.74","1.08","0.00%","280.720","292.420","0.00%","0.09%","23380.04","11754311.069","1.42","2.25","0.000","+0.270","39.00亿","14000000","1.23%","-0.47%","1.69%","30.98%","54.82%"
"24","PXJ","Invesco Dynamic Oil & Gas Services ETF","4.760","+0.180","3.93%","-0.10%","28.65%","49.69%","0.000","0.000","0","0","509659","2410010","4.590","4.580","4.780","4.590","3.35","0.00","4.15","0.67","0.00%","0.000","4.810","0.00%","1.05%","0","2503.99","0.00","3.57","0.000","+0.050","6949.44万","15200000","1.06%","0.21%","3.48%","21.21%","43.14%"
"25","CLDS","Direxion每日云计算两倍做空ETF","27.785","+1.045","3.91%","2.83%","18.94%","35.77%","0.000","0.000","0","0","8620","233098","27.245","26.740","27.850","26.840","1.44","0.00","3.78","1.53","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1540.02万","600000","12.18%","4.52%","-16.87%","75.57%","21.46%"
"26","XES","SPDR标普油气设备与服务ETF","77.330","+2.850","3.83%","0.00%","32.27%","56.59%","0.000","0.000","0","0","143382","11031366","74.820","74.480","77.600","74.820","3.19","0.01","3.73","0.62","0.00%","76.190","78.870","2.30%","1.99%","228.57","8202.48","0.00","0.00","+1.710","+1.540","3.32亿","4500000","0.18%","-0.26%","2.34%","25.83%","46.54%"
"27","CHIR","Global X MSCI China Real Estate ETF","11.110","+0.400","3.73%","0.00%","-6.48%","3.83%","0.000","0.000","0","0","10313","113569","10.980","10.710","11.110","10.810","1.47","0.73","2.80","0.69","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","809.97万","700000","9.78%","13.37%","20.37%","-11.11%","-31.39%"
"28","BDRY","Breakwave干散货航运ETF","22.450","+0.790","3.65%","0.40%","-4.47%","-23.87%","0.000","0.000","0","0","174057","3882583","22.060","21.660","22.580","22.060","6.70","-0.31","2.40","0.31","0.00%","0.000","23.000","0.00%","2.45%","0","2635.12","0.00","4.81","0.000","+0.550","5480.02万","2600000","-6.30%","-7.95%","-17.01%","-39.80%","19.48%"
"29","RRH","ADVOCATE RISING RATE HEDGE ETF","27.470","+0.932","3.51%","-0.29%","11.44%","12.42%","0.000","0.000","0","0","2819","76523","26.890","26.537","27.550","26.890","0.35","-0.11","2.49","1.10","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2200.00万","800000","10.32%","6.50%","23.52%","9.11%","9.11%"
"30","RETL","Direxion Daily Retail Bull 3X ETF","19.250","+0.650","3.49%","0.21%","-38.52%","-47.16%","0.000","0.000","0","0","337347","6559717","18.540","18.600","20.040","18.130","8.23","0.26","10.27","1.46","0.00%","18.600","19.110","0.00%","-0.73%","2194.12","324.87","6.08","0.00","0.000","-0.140","7420.18万","4099999","1.74%","-7.85%","8.02%","-53.00%","-55.21%"
"31","TTT","ProShares UltraProS20+美国债","47.690","+1.590","3.45%","-0.19%","39.98%","54.29%","0.000","0.000","0","0","282703","13468343","47.210","46.100","48.490","46.895","4.63","-0.07","3.46","1.43","0.00%","47.420","47.600","2.86%","-0.19%","18861.99","18931.93","2.97","2.33","+1.320","-0.090","2.76亿","6100000","17.75%","7.94%","22.88%","40.60%","10.70%"
"32","FCG","第一信托ISE-Revere天然气指数基金","25.670","+0.840","3.38%","0.12%","30.82%","50.17%","0.000","0.000","0","0","1236905","31506093","24.990","24.830","25.750","24.990","4.53","0.06","3.06","1.06","0.00%","25.243","25.740","1.67%","0.27%","27174.13","7369.32","2.46","0.12","+0.413","+0.070","6.69亿","27300000","2.52%","1.14%","12.66%","41.54%","103.36%"
"33","SARK","Tuttle Capital Short Innovation ETF","50.030","+1.610","3.33%","-0.05%","21.82%","34.71%","0.000","0.000","0","0","2960061","146567499","49.040","48.420","50.240","48.550","36.54","0.00","3.49","0.74","0.00%","48.880","50.050","0.95%","0.04%","451786.15","189449.745","3.47","0.80","+0.460","+0.020","3.87亿","8100000","10.30%","4.21%","-12.61%","67.10%","67.10%"
"34","RYE","古根海姆标普500等权重能源ETF","69.690","+2.240","3.32%","0.01%","27.28%","46.86%","0.000","0.000","0","0","146352","10117845","67.840","67.450","69.860","67.840","1.79","-0.04","3.00","1.00","0.00%","67.450","0.000","0.00%","0.00%","67.45","0","0.00","0.00","0.000","0.000","5.49亿","8199999","2.41%","0.94%","7.44%","39.71%","78.11%"
"35","REW","ProShares UltraShort Technology","16.330","+0.518","3.28%","0.06%","15.16%","22.41%","0.000","0.000","0","0","17177","277202","16.000","15.812","16.360","15.940","4.29","0.12","2.66","0.32","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","640.00万","400000","8.65%","8.36%","-13.18%","1.81%","-27.07%"
"36","MJIN","ETFMG 2X DAILY INVERSE ALTERNATIVE HARVEST ETF","13.555","+0.430","3.28%","3.28%","7.28%","5.07%","0.000","0.000","0","0","115","1531","13.555","13.125","13.555","13.555","0.12","3.28","0.00","0.12","0.00%","12.730","0.000","-3.01%","0.00%","63.65","0","0.00","0.00","-0.395","0.000","70.00万","100000","19.43%","34.00%","-19.34%","41.82%","48.50%"
"37","SOGU","THE SHORT DE-SPAC ETF","39.730","+1.237","3.21%","0.00%","18.24%","30.99%","0.000","0.000","0","0","89908","3572716","39.460","38.493","40.100","39.360","14.99","0.00","1.92","3.41","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2070.00万","600000","10.15%","7.41%","-7.37%","40.89%","29.20%"
"38","PXE","Invesco Dynamic Energy Exploration & Production ETF","28.950","+0.900","3.21%","-0.14%","28.95%","50.82%","0.000","0.000","0","0","180121","5193157","28.270","28.050","29.130","28.270","1.96","-0.04","3.07","1.30","0.00%","28.050","0.000","0.00%","0.00%","28.05","0","0.00","0.00","0.000","0.000","2.56亿","9200000","1.90%","1.65%","11.11%","41.46%","98.50%"
"39","TMV","Direxion每日20年+期国债三倍做空ETF","84.030","+2.610","3.21%","-0.32%","39.77%","54.30%","0.000","0.000","0","0","738437","62141380","83.220","81.420","85.550","82.530","13.43","-0.59","3.71","1.15","0.00%","83.700","84.220","2.80%","0.23%","526544.596","21643.64","3.23","0.63","+2.280","+0.190","4.39亿","5500000","17.95%","7.68%","22.53%","39.84%","9.56%"
"40","MLPO","Credit Suisse S&P MLP Index ETN","11.130","+0.345","3.20%","0.00%","10.38%","24.18%","0.000","0.000","0","0","118","1321","11.250","10.785","11.250","11.130","0.01","-1.07","1.11","0.54","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2769.89万","2300000","3.20%","6.92%","9.39%","3.36%","34.60%"
"41","BNKU","MicroSectors美国银行指数每日三倍做多ETN","38.090","+1.180","3.20%","0.34%","-47.68%","-30.26%","0.000","0.000","0","0","256977","9682601","36.780","36.910","38.630","36.300","10.28","0.45","6.31","0.96","0.00%","36.700","38.300","-0.57%","0.55%","54291.128","3027.26","2.95","2.34","-0.210","+0.210","9330.00万","2500000","-5.72%","-23.00%","-4.20%","-41.15%","-19.62%"
"42","JHME","John Hancock Multifactor Energy ETF","32.379","+0.971","3.09%","0.01%","27.76%","46.52%","0.000","0.000","0","0","9595","308433","31.620","31.408","32.470","31.620","0.87","0.01","2.71","1.96","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3259.96万","1100000","2.56%","0.63%","8.17%","38.91%","76.74%"
"43","IEO","iShares安硕美国油气勘探与生产ETF","87.220","+2.560","3.02%","-0.06%","24.65%","43.39%","0.000","0.000","0","0","176949","15368845","84.990","84.660","87.540","84.990","1.86","0.03","3.01","1.19","0.00%","0.000","88.120","0.00%","1.03%","0","525.95","0.00","2.19","0.000","+0.900","7.96亿","9500000","2.05%","0.22%","10.44%","37.47%","83.55%"
"44","GOEX","Global X黄金探险家ETF","33.733","+0.973","2.97%","-0.04%","15.82%","15.01%","0.000","0.000","0","0","12947","436208","33.150","32.760","33.920","33.150","0.86","-0.04","2.35","2.21","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4819.95万","1500000","1.30%","0.77%","1.97%","13.54%","9.72%"
"45","QID","ProShares两倍做空纳斯达克指数ETF","18.690","+0.530","2.92%","-0.16%","14.17%","19.50%","0.000","0.000","0","0","14413192","266746024","18.340","18.160","18.740","18.275","78.33","-0.15","2.56","1.28","0.00%","18.360","18.690","1.10%","0.00%","1844945.381","186870.05","2.37","0.70","+0.200","0.000","3.36亿","18400000","7.04%","5.24%","-15.62%","2.19%","-20.09%"
"46","GDMN","WISDOMTREE EFFICIENT GOLD PLUS GOLD MINERS STRATEGY FUND","33.850","+0.946","2.87%","-0.09%","24.68%","23.75%","0.000","0.000","0","0","9381","316229","33.340","32.904","33.890","33.340","3.13","-0.09","1.67","0.53","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","810.00万","300000","1.71%","1.80%","0.95%","32.33%","32.33%"
"47","XLE","SPDR能源指数ETF","79.530","+2.130","2.75%","0.01%","26.74%","44.67%","0.000","0.000","0","0","26713051","2112829443","77.610","77.400","79.750","77.610","5.58","-0.01","2.77","0.99","0.00%","77.400","79.720","0.00%","0.24%","4254708.625","17203621.828","0.70","0.39","0.000","+0.190","365.87亿","478900000","3.21%","0.99%","4.48%","41.77%","69.06%"
"48","WEAT","Teucrium小麦基金","10.530","+0.280","2.73%","0.10%","44.64%","42.49%","0.000","0.000","0","0","5209036","54280811","10.260","10.250","10.530","10.260","10.10","0.11","2.63","2.38","0.00%","10.290","10.650","0.39%","1.14%","30574.9","106942.695","0.68","1.33","+0.040","+0.120","5.32亿","51600000","8.67%","-0.75%","1.74%","45.84%","66.88%"
"49","PAK","Global X MSCI Pakistan ETF","21.880","+0.580","2.72%","-0.50%","-7.95%","-4.41%","0.000","0.000","0","0","8793","193096","22.060","21.300","22.120","21.780","0.98","-0.50","1.60","1.15","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1899.99万","900000","-2.08%","-0.14%","-2.06%","-8.57%","-22.68%"
"50","VDE","领航能源业ETF","111.400","+2.910","2.68%","0.05%","26.77%","44.64%","0.000","0.000","0","0","1654190","183376334","108.790","108.490","111.670","108.600","2.15","0.04","2.83","2.05","0.00%","108.690","111.500","0.18%","0.09%","3473.51","586899.9","0.78","1.12","+0.200","+0.100","82.55亿","77000000","2.80%","0.77%","5.27%","39.82%","70.05%"
"51","PXI","Invesco DWA Energy Momentum ETF","44.270","+1.150","2.67%","-0.14%","27.23%","45.01%","0.000","0.000","0","0","40877","1801804","43.745","43.120","44.456","43.363","0.73","-0.10","2.54","0.91","0.00%","43.120","0.000","0.00%","0.00%","43.12","0","0.00","0.00","0.000","0.000","2.38亿","5600000","0.91%","-0.58%","9.52%","32.06%","79.45%"
"52","SLVP","安硕MSCI环球银矿ETF","14.650","+0.380","2.66%","-0.01%","14.45%","13.57%","0.000","0.000","0","0","251385","3671912","14.240","14.270","14.767","14.240","1.37","-0.27","3.69","2.39","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2.57亿","18300000","-0.07%","-0.61%","-0.34%","10.20%","-5.17%"
"53","GOAU","U.S. Global GO GOLD & Precious Metal Miners ETF","21.590","+0.560","2.66%","0.10%","20.35%","21.09%","0.000","0.000","0","0","27001","580924","21.220","21.030","21.640","21.220","0.51","0.14","2.00","1.02","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.10亿","5300000","0.43%","1.31%","2.32%","19.64%","9.87%"
"54","RMI","RiverNorth Oppor Muni Income Fund Inc.","19.290","+0.500","2.66%","0.00%","-9.93%","-12.15%","0.000","0.000","0","0","10768","204378","18.790","18.790","19.350","18.746","0.00","0.00","3.21","0.37","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","2.28%","5.01%","0.92%","-7.85%","-4.49%"
"55","FTXN","First Trust Exchange-Traded Fund VI First Trust Nasdaq Oil & Gas ETF","27.500","+0.710","2.65%","0.04%","24.84%","42.12%","0.000","0.000","0","0","88194","2410905","26.820","26.790","27.590","26.820","0.20","0.07","2.87","0.41","0.00%","27.450","0.000","2.46%","0.00%","192.15","0","0.00","0.00","+0.660","0.000","11.54亿","43700000","1.74%","0.36%","8.47%","33.09%","79.05%"
"56","GDXJ","小型黄金矿业ETF-Market Vectors","48.420","+1.250","2.65%","0.05%","16.37%","15.48%","0.000","0.000","0","0","6030253","291355352","47.350","47.170","48.670","47.345","5.66","-0.08","2.81","0.97","0.00%","47.320","48.620","0.32%","0.41%","491125.797","36427019","1.25","0.56","+0.150","+0.200","50.03亿","106600000","0.46%","0.33%","1.64%","14.53%","3.18%"
"57","JO","iPath彭博咖啡分类指数总回报ETN","63.270","+1.630","2.64%","0.00%","-3.26%","3.35%","0.000","0.000","0","0","27419","1727355","62.390","61.640","63.360","62.390","2.11","0.00","1.57","0.44","0.00%","0.000","63.800","0.00%","0.84%","0","6521.4","0.00","0.79","0.000","+0.530","8110.05万","1300000","2.10%","4.77%","4.86%","13.67%","67.60%"
"58","CANE","Teucrium Sugar Fund","10.100","+0.260","2.64%","0.30%","13.10%","9.78%","0.000","0.000","0","0","206455","2072038","10.000","9.840","10.100","9.970","7.37","0.30","1.32","2.63","0.00%","10.120","10.060","2.85%","-0.40%","1102","5300.56","1.22","0.20","+0.280","-0.040","2689.96万","2800000","5.65%","3.70%","4.99%","7.33%","34.31%"
"59","FENY","富达MSCI能源指数ETF","21.760","+0.560","2.64%","-0.03%","26.69%","44.55%","0.000","0.000","0","0","1463347","31704509","21.280","21.200","21.830","21.250","2.06","-0.05","2.74","1.13","0.00%","21.200","21.520","0.00%","-1.10%","21.2","1076","0.00","0.00","0.000","-0.240","14.89亿","71100000","2.79%","0.60%","5.24%","39.80%","69.72%"
"60","NORW","Global X MSCI挪威ETF","32.929","+0.829","2.58%","0.42%","4.17%","7.96%","0.000","0.000","0","0","17610","580300","32.500","32.100","33.090","32.500","0.48","-0.05","1.84","0.50","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.19亿","3700000","1.07%","0.05%","11.59%","113.90%","139.11%"
"61","VXX","iPATH 标普500 VIX短期期货ETN","24.670","+0.620","2.58%","-0.80%","39.93%","33.14%","0.000","0.000","0","0","2781401","67498222","24.350","24.050","25.000","23.715","10.34","-0.61","5.34","0.71","0.00%","24.305","24.870","1.06%","0.81%","92198.051","336306.24","1.46","3.34","+0.255","+0.200","5.53亿","26900000","-1.44%","-2.10%","-6.34%","10.28%","-40.18%"
"62","HIBS","Direxion每日标普500高贝塔指数三倍做空ETF","8.810","+0.220","2.56%","-0.40%","11.52%","6.66%","0.000","0.000","0","0","264523","2317729","8.620","8.590","8.975","8.530","5.09","-0.34","5.18","0.37","0.00%","8.400","8.900","-2.21%","1.02%","12326.69","688.11","3.03","5.45","-0.190","+0.090","4450.16万","5200000","12.09%","12.95%","-17.20%","-8.04%","-39.16%"
"63","ENOR","iShares MSCI Norway Capped ETF","31.380","+0.780","2.55%","-0.03%","4.01%","7.72%","0.000","0.000","0","0","6639","207985","31.050","30.600","31.539","31.050","0.47","0.13","1.60","0.33","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4279.94万","1400000","0.93%","0.03%","11.32%","1.66%","13.12%"
"64","SIL","Global X白银矿业ETF","37.890","+0.940","2.54%","-0.11%","4.99%","3.30%","0.000","0.000","0","0","377838","14275489","36.960","36.950","38.090","36.960","1.26","0.05","3.06","1.04","0.00%","0.000","38.600","0.00%","1.87%","0","1448547.08","0.00","2.56","0.000","+0.710","10.98亿","30100000","1.26%","1.77%","1.96%","-0.01%","-8.63%"
"65","FDTS","First Trust发达市场除美国小盘","44.120","+1.084","2.52%","0.00%","-4.08%","-4.10%","0.000","0.000","0","0","7514","331099","44.020","43.036","44.150","43.780","2.51","0.00","0.86","2.43","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1110.00万","300000","-1.50%","-0.54%","5.65%","-6.83%","-3.84%"
"66","IYE","iShares安硕美国能源ETF","42.380","+1.040","2.52%","0.08%","25.90%","41.92%","0.000","0.000","0","0","2070881","87377734","41.460","41.340","42.470","41.460","2.36","0.06","2.44","0.61","0.00%","41.340","0.000","0.00%","0.00%","1860.3","0","0.00","0.00","0.000","0.000","35.84亿","87800000","2.66%","0.62%","5.11%","38.25%","66.51%"
"67","SILJ","PureFunds ISE初级小市值银矿开采ETF","14.460","+0.350","2.48%","0.18%","15.31%","15.87%","0.000","0.000","0","0","1219998","17564964","14.170","14.110","14.500","14.138","1.82","0.17","2.56","0.74","0.00%","14.220","14.460","0.78%","0.00%","170282.838","354270","0.99","0.00","+0.110","0.000","9.28亿","66900000","-0.28%","-1.09%","0.00%","12.40%","-4.96%"
"68","FXN","第一信托能源AlphaDEX基金","16.220","+0.390","2.46%","-0.06%","22.69%","36.48%","0.000","0.000","0","0","500651","8086163","15.890","15.830","16.290","15.890","0.48","-0.09","2.52","0.41","0.00%","15.830","0.000","0.00%","0.00%","47.49","0","0.00","0.00","0.000","0.000","16.44亿","104900000","0.68%","-0.92%","5.16%","27.88%","63.52%"
"69","GDX","黄金矿业ETF-VanEck","39.670","+0.940","2.43%","0.09%","25.10%","23.85%","0.000","0.000","0","0","21664610","856652768","38.930","38.730","39.810","38.900","5.42","-0.03","2.35","1.02","0.00%","38.920","39.890","0.49%","0.55%","1371464.156","8635972.268","1.21","1.29","+0.190","+0.220","153.18亿","399400000","0.46%","2.45%","3.60%","25.27%","17.71%"
"70","UGA","United States Gasoline Fund LP","55.270","+1.290","2.39%","-0.14%","25.50%","34.94%","0.000","0.000","0","0","44112","2420350","54.050","53.980","55.660","54.000","2.32","-0.13","3.08","0.83","0.00%","54.260","55.330","0.52%","0.11%","54.26","55.33","0.00","0.00","+0.280","+0.060","1.00亿","1900000","-1.18%","-8.56%","-4.44%","27.29%","69.70%"
"71","NANR","SPDR S&P North American Natural Resources ETF","60.020","+1.400","2.39%","0.07%","26.41%","36.38%","0.000","0.000","0","0","48144","2878540","59.090","58.620","60.150","59.040","0.45","0.13","1.89","0.57","0.00%","58.620","0.000","0.00%","0.00%","58.62","0","0.00","0.00","0.000","0.000","6.18亿","10700000","1.75%","0.64%","5.76%","38.90%","55.00%"
