"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"30","BK2486","医疗设施","1657.066","+7.212","0.44%","10.37%","-1.00%","23255244","1126522043","1649.791","0.71","24.500","232791358630.743","5619533906","1.25%","1.12%","0.46%","-3.73%","-2.42%","1649.854","1671.031","1649.791"
"31","BK2587","信用支付","1235.190","+4.701","0.38%","0.33%","-0.18%","30038413","4822209398","1230.505","0.61","26.711","1089245531623.83","5487613518","0.40%","-1.14%","0.72%","-5.44%","0.35%","1230.489","1247.885","1230.489"
"32","BK2080","百货商店","2130.700","+5.350","0.25%","16.67%","15.63%","18443467","615196359","2127.652","2.64","8.345","26768624385.51","868337931","7.16%","5.01%","0.97%","11.95%","21.45%","2125.350","2172.114","2124.585"
"33","BK2226","油气中流","1208.244","+3.007","0.25%","14.72%","24.58%","79290541","2105686419","1204.101","0.49","23.454","618844131853.933","21656276514","1.41%","2.60%","8.65%","13.01%","33.33%","1205.237","1215.607","1201.753"
"34","BK2058","油气E&P","943.648","+2.207","0.23%","24.11%","42.98%","411547971","8132531925","939.917","2.68","35.113","846067221308.912","17625662528","2.83%","3.70%","7.49%","37.98%","85.69%","941.441","950.823","937.026"
"35","BK2240","折扣店","2060.742","+4.664","0.23%","12.86%","6.68%","22603057","4586325187","2055.910","0.73","31.174","915721894072.6801","4454528716","0.31%","5.80%","8.14%","8.84%","22.78%","2056.078","2074.933","2048.992"
"36","BK2108","包装食品","1751.253","+3.260","0.19%","2.43%","3.77%","78283300","2140978983","1749.296","1.14","26.669","358819539552.539","9541453979","1.42%","4.02%","8.74%","9.24%","2.84%","1747.993","1758.723","1746.877"
"37","BK2512","保险-人寿保险","1140.200","+2.119","0.19%","-2.87%","2.78%","18099446","788055766","1137.523","0.22","9.499","315784325905.73","12249040371","0.94%","-0.18%","2.15%","-4.71%","-7.66%","1138.081","1145.586","1135.884"
"38","BK2573","抗癌医药","1189.556","+2.171","0.18%","3.61%","1.11%","84639636","5415476923","1189.370","0.55","15.360","1049205720637.37","15797229462","-0.81%","4.41%","4.91%","10.63%","15.19%","1187.385","1197.108","1185.556"
"39","BK2089","航天军工","3926.399","+6.405","0.16%","6.83%","10.04%","46818967","4280896996","3927.845","0.74","46.071","773892709775.478","8406813511","0.22%","0.97%","3.02%","2.52%","6.84%","3919.994","3956.371","3919.989"
"40","BK2264","烟草","704.438","+1.148","0.16%","1.98%","10.41%","32431384","1299415495","701.199","0.51","17.392","363411584734.422","7728082789","1.77%","5.56%","6.73%","10.07%","9.65%","703.290","706.525","699.978"
"41","BK2273","租赁服务","1553.314","+2.090","0.13%","0.02%","-7.43%","11388820","694418231","1551.077","0.83","18.771","112538372581.27","2271405138","5.09%","-2.39%","-4.81%","-4.34%","13.46%","1551.224","1567.289","1547.038"
"42","BK2467","保险-再保险","1098.282","+1.124","0.10%","-3.35%","-1.44%","1322882","121948983","1097.849","0.37","14.286","29226184673.97","474477863","-0.46%","-2.23%","2.80%","0.93%","-2.57%","1097.158","1105.854","1093.704"
"43","BK2428","药品制造商-通用","1445.448","+1.177","0.08%","9.39%","7.41%","193833274","10192243030","1443.406","0.69","20.672","2696498257293.2998","29162597074","-1.51%","3.87%","4.74%","14.54%","19.31%","1444.271","1454.740","1440.347"
"44","BK2582","天然气","1302.372","+0.665","0.05%","19.41%","26.75%","180629500","6672312238","1299.716","1.23","24.870","1208098778614.6699","15868188281","1.58%","3.74%","7.03%","28.45%","42.78%","1301.707","1311.885","1297.134"
"45","BK2504","空壳公司","1132.801","+0.389","0.03%","3.73%","4.20%","43682986","536010082","1132.415","0.26","116.712","231170540280.695","23061965559","0.85%","0.94%","1.36%","4.89%","13.50%","1132.412","1133.043","1132.329"
"46","BK2475","REIT-酒店及汽车旅馆","971.163","+0.251","0.03%","6.38%","5.70%","29224325","496850038","971.572","1.14","-15.508","45994282270.22","2655708222","5.86%","-2.19%","1.72%","6.97%","5.74%","970.912","994.141","967.962"
"47","BK2585","页岩油","1563.271","+0.289","0.02%","29.55%","48.70%","86060225","5973683009","1561.241","1.14","21.856","769276768511.2","7748276048","3.05%","4.49%","6.74%","47.31%","92.85%","1562.982","1576.804","1553.708"
"48","BK2453","英国银行股","865.280","+0.073","0.01%","-10.55%","0.64%","24274647","178031762","866.562","0.06","7.475","267832073646.54","42803920069","-0.19%","-1.32%","-3.05%","-4.92%","3.61%","865.207","869.986","861.717"
"49","BK2469","REIT- 抵押","848.805","+0.060","0.01%","-4.50%","-4.39%","57489339","578365683","849.160","0.83","12.102","90147225471.96","7357456472","4.85%","1.13%","1.21%","-10.28%","-6.97%","848.745","853.634","846.925"
"50","BK2641","俄罗斯概念","156.923","0.000","0.00%","-84.42%","-86.70%","0","0","156.923","0.00","2.399","31119690891.18","19013361941","0.00%","0.00%","0.00%","-89.04%","-84.25%","156.923","0.000","0.000"
"51","BK2093","白银","1765.208","-0.021","-0.00%","16.35%","19.60%","11994987","142194744","1763.108","1.23","69.731","13734996817.05","1037348805","8.80%","9.85%","5.01%","5.90%","-14.11%","1765.229","1780.440","1737.573"
"52","BK2101","钢铁","1716.672","-0.160","-0.01%","23.10%","23.39%","52067648","1890681094","1715.656","1.09","4.185","190840951613.693","6878739400","4.15%","3.34%","9.08%","22.00%","30.30%","1716.832","1735.966","1710.759"
"53","BK2465","保险-专业","1456.326","-0.146","-0.01%","-6.53%","-8.70%","19771757","653458062","1458.250","1.01","10.684","70941463271.24","2506675974","-0.09%","-4.03%","-2.57%","-9.71%","2.97%","1456.472","1469.659","1454.969"
"54","BK2427","饮料 - 啤酒","896.846","-0.417","-0.05%","-3.59%","0.77%","22510979","324523198","896.127","0.37","21.118","225501377362.89","18741423254","0.98%","-2.54%","1.11%","3.72%","-8.03%","897.263","899.907","892.099"
"55","BK2237","包装和容器","1189.835","-0.564","-0.05%","-1.84%","-1.30%","20573178","983805021","1191.716","0.50","23.135","173266193845.709","5265179271","1.81%","0.17%","-0.33%","-1.16%","-3.17%","1190.399","1198.942","1188.234"
"56","BK2473","糖果店","1730.909","-1.086","-0.06%","0.09%","2.30%","7583936","620791599","1737.383","0.49","23.919","137067428263.2","1661970767","1.34%","2.48%","4.68%","10.96%","16.32%","1731.995","1745.253","1730.069"
"57","BK2476","咨询服务","2072.463","-1.787","-0.09%","0.30%","-11.43%","27788202","1276055580","2074.952","1.80","26.524","161381302752.65","1684856023","-28.09%","-28.66%","-0.33%","-6.84%","11.93%","2074.250","2094.567","2071.635"
"58","BK2110","黄金","470.621","-0.471","-0.10%","22.94%","27.09%","143438409","2097041317","469.281","0.93","30.055","304078550309.967","16785269114","3.91%","5.19%","7.12%","25.36%","13.50%","471.092","472.452","464.650"
"59","BK2060","油气炼制与营销","1100.511","-1.176","-0.11%","12.26%","26.50%","26487238","1369099236","1101.210","0.72","13.624","183107441089.09","4669659930","1.05%","0.38%","11.50%","13.09%","22.29%","1101.687","1109.183","1097.352"
"60","BK2459","饮料-不含酒精","1382.781","-1.503","-0.11%","0.68%","1.36%","40097229","2752664879","1384.783","0.52","29.311","673583291517.17","10083059269","1.03%","3.11%","6.10%","8.38%","10.25%","1384.284","1393.072","1382.433"
"61","BK2261","信贷服务","1595.640","-2.827","-0.18%","-8.44%","-10.20%","125979824","7567822704","1598.192","1.10","19.425","1330626753320.1699","15195157441","-1.76%","-4.07%","-2.12%","-18.54%","-15.68%","1598.467","1616.821","1594.615"
"62","BK2556","太空概念","884.952","-1.571","-0.18%","5.11%","9.36%","21146127","2605955718","888.666","1.21","50.712","345387399121.83","2775700783","0.78%","1.32%","4.26%","3.09%","1.44%","886.523","895.196","884.361"
"63","BK2020","化学品","1037.101","-1.862","-0.18%","6.09%","9.98%","23519158","948455016","1041.350","1.09","9.977","136315525894.366","3005466867","2.12%","-0.44%","2.16%","10.63%","4.86%","1038.963","1049.645","1037.019"
"64","BK2480","房地产-综合性","1354.337","-2.866","-0.21%","10.46%","3.61%","784395","42253616","1362.933","0.72","56.532","9177765605.93","177052488","2.16%","-2.73%","3.91%","5.20%","-1.80%","1357.203","1372.695","1353.741"
"65","BK2216","企业集团","1026.201","-2.185","-0.21%","-10.32%","-9.74%","10213000","1287145041","1030.005","0.55","22.282","259436020129.296","2345456442","0.35%","-0.01%","1.18%","-11.52%","-6.39%","1028.386","1035.838","1025.153"
"66","BK2499","纺织制造","958.756","-2.037","-0.21%","-7.41%","-11.47%","242019","13202337","960.943","0.37","20.448","3044089717.9","78234535","-0.27%","-3.53%","-6.01%","-17.26%","-27.20%","960.793","971.699","958.524"
"67","BK2246","医疗保健计划","1848.479","-3.982","-0.21%","12.76%","5.99%","23397621","4965791861","1853.870","0.54","25.800","982783090500.345","5106143306","-0.15%","4.61%","3.89%","16.25%","25.67%","1852.461","1892.156","1847.542"
"68","BK2472","公用事业-受管制的电力","1386.825","-3.079","-0.22%","8.71%","5.42%","100964060","4505769154","1387.593","0.56","30.728","1054628400422.08","23610439213","-0.77%","2.27%","6.41%","11.42%","8.70%","1389.904","1395.463","1384.877"
"69","BK2477","基础设施运作","1755.854","-4.864","-0.28%","-0.28%","-3.69%","797858","17678490","1766.772","0.46","76.033","4978919677.95","204377151","-0.17%","-6.18%","-7.79%","-11.57%","-21.65%","1760.718","1783.173","1754.105"
"70","BK2033","工程建设","1766.505","-5.551","-0.31%","-1.17%","-10.64%","18593745","1119782355","1772.310","0.68","44.698","165137868776.066","3247205431","-1.72%","-2.52%","-3.11%","-26.86%","-20.29%","1772.056","1785.607","1766.010"
"71","BK2230","保险经纪","1998.133","-6.761","-0.34%","10.36%","0.48%","11329438","926758500","2004.708","0.69","27.603","259245891218.96","2258533039","-1.77%","0.40%","4.64%","-1.10%","20.74%","2004.894","2018.101","1998.034"
"72","BK2008","出版","1404.875","-4.818","-0.34%","2.87%","-2.56%","2791246","78491888","1409.859","0.09","32.707","84033734001.33","3175254992","-1.55%","0.63%","2.23%","0.66%","12.49%","1409.693","1420.962","1404.587"
"73","BK2440","美国抗疫概念","2081.868","-7.190","-0.34%","20.02%","4.98%","198489396","3583411246","2089.303","10.13","74.269","299031249842.8401","2155014128","-2.01%","4.66%","4.81%","24.62%","-7.94%","2089.058","2100.239","2071.350"
"74","BK2088","电信业务","868.214","-3.032","-0.35%","-6.52%","-6.71%","112431794","3161734935","870.692","0.31","12.944","1182317766539.3391","49634356378","-1.31%","-7.90%","-7.10%","1.19%","2.01%","871.246","871.246","866.652"
"75","BK2094","博彩","3275.039","-11.976","-0.36%","-5.72%","-20.14%","25280309","419506217","3287.888","2.08","-60.482","36385686129.166","1903983329","3.67%","-4.83%","-4.26%","-39.06%","-28.55%","3287.015","3308.116","3244.442"
"76","BK2503","REIT-保健设施","1121.901","-4.452","-0.40%","2.74%","2.11%","29829264","820716432","1128.015","0.80","49.414","136229130513.232","3812576996","-1.19%","-1.81%","2.19%","4.10%","2.91%","1126.353","1142.399","1121.071"
"77","BK2049","服装制造","1720.022","-6.853","-0.40%","-13.40%","-20.29%","22195002","758248287","1729.093","0.87","25.310","96269992593.96","3356137120","0.47%","-3.14%","-4.77%","-21.23%","-23.31%","1726.875","1747.204","1718.227"
"78","BK2538","外卖概念","770.328","-3.078","-0.40%","-17.14%","-25.15%","20913433","854128228","776.803","0.98","-97.003","101973008402.21","2303373340","0.24%","-7.79%","3.72%","-39.68%","-41.53%","773.406","789.163","767.102"
"79","BK2495","金融集团","1890.475","-7.828","-0.41%","-7.22%","-9.43%","1297396","95018982","1898.830","0.86","4.744","10650128671.68","167934800","-0.20%","-3.94%","-1.53%","-11.89%","1.92%","1898.303","1916.135","1883.066"
"80","BK2118","阿里概念","329.281","-1.373","-0.42%","-19.26%","-14.64%","11528154","204069153","330.672","1.37","38.539","28388971089.23","1701808767","-0.05%","1.39%","1.55%","-31.83%","-31.65%","330.654","331.763","328.518"
"81","BK2500","综合货运物流","1578.258","-6.801","-0.43%","-11.65%","-15.36%","25795467","2098660579","1584.771","1.17","13.754","304949440220.446","2847965741","-1.18%","-10.71%","-12.90%","-13.39%","-12.67%","1585.059","1597.509","1575.853"
"82","BK2063","休闲","1247.956","-5.531","-0.44%","-9.10%","-14.86%","51249164","1055188855","1253.433","1.72","-14.495","110368376637.64","3836191238","1.88%","-2.09%","-4.51%","-17.96%","-12.58%","1253.487","1267.531","1245.881"
"83","BK2260","资本市场","1738.345","-7.889","-0.45%","-9.07%","-10.71%","114948958","5700184291","1761.752","1.18","11.806","607013543646.88","12610270745","1.51%","-2.84%","-6.84%","-13.81%","0.81%","1746.234","1778.913","1736.793"
"84","BK2030","广告公司","1313.484","-5.984","-0.45%","-10.08%","-11.99%","15780457","325188572","1320.885","0.54","24.619","69721359265.656","3845865503","-1.00%","-4.83%","-7.36%","-14.29%","-17.48%","1319.468","1329.953","1312.526"
"85","BK2572","风电","500.440","-2.296","-0.46%","5.04%","-3.34%","14120713","1092201380","502.852","0.42","32.005","297553744207.26","3729077322","-2.58%","0.14%","3.49%","3.02%","6.45%","502.736","504.605","500.327"
"86","BK2511","房地产-开发","916.210","-4.254","-0.46%","3.10%","-4.31%","4385331","10351992","920.448","2.34","-7.598","2550308059.935","396018280","1.21%","-1.55%","-1.09%","-6.87%","-12.09%","920.464","922.853","913.581"
"87","BK2219","废物管理","1858.938","-9.136","-0.49%","2.79%","-5.31%","7964330","610326335","1868.060","0.46","57.595","179450483567.787","2153632845","-3.93%","-1.85%","-0.19%","-2.24%","15.90%","1868.074","1883.429","1858.484"
"88","BK2243","工具及附件","1087.798","-5.356","-0.49%","-13.95%","-16.49%","7451490","531405549","1093.090","0.93","18.288","64730434989.841","907873563","0.55%","-1.81%","-4.77%","-17.55%","-18.74%","1093.154","1101.507","1084.763"
"89","BK2225","饭馆","1402.329","-7.260","-0.52%","-5.22%","-15.18%","31421546","2709914807","1409.984","0.71","26.966","475771255998.157","5010391818","-0.86%","-2.47%","-0.35%","-11.51%","-9.52%","1409.589","1418.057","1401.088"
"90","BK2541","SPAC上市公司","1157.546","-6.131","-0.53%","-2.95%","-20.56%","40359752","351597417","1162.048","1.89","-21.868","28114017597.09","2896291382","1.97%","-5.47%","0.87%","-35.05%","-34.30%","1163.677","1171.032","1149.132"
"91","BK2095","杂货店","1692.460","-9.258","-0.54%","17.18%","13.45%","15885519","517205414","1707.412","1.13","31.288","78504095812.85","2420267583","-3.20%","1.49%","2.49%","13.61%","20.11%","1701.718","1710.325","1686.600"
"92","BK2429","保险-综合性","1685.160","-9.248","-0.55%","8.41%","13.59%","23799659","2965644026","1693.505","0.35","8.704","1717019783555.7871","8547658175","-0.20%","-1.92%","0.27%","15.63%","26.39%","1694.408","1701.098","1685.128"
"93","BK2083","纸及纸制品","1140.297","-6.326","-0.55%","-12.30%","-8.85%","3364965","56029446","1146.818","0.34","10.550","25238305776.91","1836835272","-10.85%","-11.53%","-15.20%","9.05%","-11.55%","1146.623","1150.185","1133.891"
"94","BK2003","家庭及个人产品","2086.482","-12.159","-0.58%","-6.14%","-10.39%","55736744","3040024433","2100.555","0.67","27.908","790073787331.72","9632561116","-0.65%","1.98%","3.21%","-2.77%","-6.48%","2098.641","2109.534","2086.005"
"95","BK2034","建筑材料","1207.572","-7.139","-0.59%","-15.09%","-21.52%","6696639","292931078","1214.376","0.21","17.642","110603815615","3414310029","1.34%","-2.99%","-7.99%","-19.27%","-15.52%","1214.711","1225.195","1207.426"
"96","BK2501","其他工业金属和采矿","1856.103","-11.202","-0.60%","10.85%","25.70%","53274740","1440509383","1862.774","0.48","8.608","476625020444.046","12870138616","-0.13%","0.16%","10.46%","31.85%","19.11%","1867.305","1867.305","1849.510"
"97","BK2484","保险-财产和意外伤害","1462.597","-9.004","-0.61%","7.86%","8.21%","23788960","2385075637","1467.839","0.74","13.580","402278555846.79","3974484120","-1.18%","-0.55%","0.43%","7.58%","11.47%","1471.601","1471.601","1458.800"
"98","BK2203","个人服务","1232.651","-7.663","-0.62%","1.68%","-5.10%","9461866","237402770","1240.411","0.70","70.236","61793551187.696","2553482814","0.07%","2.36%","2.49%","-12.42%","-11.95%","1240.314","1256.477","1231.538"
"99","BK2478","食品分销商","1522.686","-9.559","-0.62%","10.22%","8.77%","6274953","337176916","1532.293","0.58","102.210","68080823715.31","1137077437","3.37%","3.83%","6.13%","14.11%","11.15%","1532.245","1549.975","1522.686"
"100","BK2456","银行-区域","977.340","-6.296","-0.64%","-7.56%","-1.79%","210987686","6233239914","984.352","0.26","11.458","1506291674724.6399","105481774997","-1.30%","-2.69%","-3.98%","-15.18%","-6.81%","983.636","988.144","975.205"
"101","BK2482","REIT-专业","1782.803","-11.631","-0.65%","4.57%","-8.53%","19500556","1630802115","1794.891","0.58","43.063","402902950794.54","3490324454","-1.88%","1.66%","4.46%","-1.98%","6.59%","1794.434","1799.407","1782.699"
"102","BK2506","电子与计算机分配","1650.164","-10.875","-0.65%","-9.71%","-14.31%","886037","52519800","1660.235","0.40","11.586","14493595236.65","317091628","-1.40%","-6.79%","-12.94%","-4.81%","-6.07%","1661.039","1677.892","1650.164"
"103","BK2220","医疗分销","1507.436","-10.038","-0.66%","21.87%","21.71%","10915251","1121966897","1519.680","1.03","-123.891","124137658604.09","1204125655","1.27%","5.35%","7.12%","27.95%","29.85%","1517.474","1533.237","1505.317"
"104","BK2224","油气一体化","996.555","-6.897","-0.69%","13.45%","31.16%","128818399","5749026815","993.769","0.39","12.094","1846178424553.78","43765106697","1.93%","3.82%","9.09%","23.58%","51.19%","1003.452","1001.347","989.079"
"105","BK2214","休闲车","821.486","-5.698","-0.69%","-14.49%","-21.56%","6028527","307333016","827.106","0.84","11.837","38256945331.58","1012874132","1.54%","-1.68%","-4.32%","-20.44%","-29.87%","827.184","834.998","818.118"
"106","BK2591","ESG ETF-MSCI","1230.263","-8.900","-0.72%","-2.73%","-5.13%","33870639","2648295708","1239.763","2.02","0.000","66641542679.22","1680099999","-1.51%","-2.65%","-1.37%","-5.78%","-1.85%","1239.163","1241.204","1230.053"
"107","BK2494","服装零售","1521.580","-11.532","-0.75%","-2.74%","-15.44%","43495554","1998926854","1533.143","1.38","22.102","219743572395.385","4071795232","4.45%","6.02%","6.48%","-17.06%","-8.37%","1533.112","1544.167","1519.570"
"108","BK2068","特种化学品","4218.953","-32.159","-0.76%","-8.77%","-14.52%","54349373","3462071226","4252.052","0.82","21.537","651867892299.298","7634572925","-1.05%","-1.34%","0.94%","-7.83%","-1.80%","4251.112","4281.193","4218.309"
"109","BK2620","安联持仓","928.970","-7.147","-0.76%","-7.12%","-9.15%","30147807","2829332924","935.697","2.12","0.000","93904088500","1424100000","-1.34%","-2.91%","-3.32%","-9.27%","-8.96%","936.117","936.127","928.614"
"110","BK2466","REIT-工业","2258.951","-17.469","-0.77%","5.72%","-4.06%","18563512","1517456890","2281.363","0.60","39.949","333902464233.13","3148115688","-2.47%","1.21%","5.26%","10.44%","33.84%","2276.420","2290.341","2257.549"
"111","BK2497","广播","975.072","-7.769","-0.79%","-0.83%","-1.06%","38733276","610812379","983.233","0.70","23.610","200693359078.79","9731204355","0.04%","-3.17%","-0.09%","-12.13%","-16.89%","982.841","989.214","974.900"
"112","BK2055","汽车零件","2506.334","-21.428","-0.85%","-17.79%","-21.61%","41151178","1017283128","2529.090","0.90","28.992","157337160063.756","6097314684","-1.34%","-7.35%","-4.70%","-20.67%","-19.34%","2527.762","2550.776","2504.942"
"113","BK2457","REIT-办公室","1171.064","-10.890","-0.92%","-3.50%","-7.70%","16826869","794858421","1182.338","0.58","32.864","164704370031.39","3742712017","-0.89%","-2.97%","-0.82%","-4.33%","1.30%","1181.954","1189.938","1171.064"
"114","BK2227","污染和处理控制","653.930","-6.154","-0.93%","5.06%","-11.52%","3689857","76167826","660.093","0.62","84.917","14848727510.147","739451019","0.18%","-2.33%","-4.28%","-28.33%","-32.90%","660.084","665.153","653.639"
"115","BK2430","铀","3189.463","-32.167","-1.00%","44.60%","41.03%","43151207","392842820","3220.399","1.82","-304.323","21689020929.95","2461623093","3.49%","10.93%","14.67%","15.24%","94.34%","3221.630","3225.180","3146.085"
"116","BK2474","专业商业服务","1774.518","-17.894","-1.00%","-1.96%","-8.81%","19691385","1025042808","1792.514","1.01","22.235","188666755938.6","3027988601","-1.12%","-1.70%","0.93%","-10.58%","-10.34%","1792.412","1800.274","1773.254"
"117","BK2234","机场及航空服务","845.091","-8.648","-1.01%","6.37%","-4.57%","9654453","88590826","852.664","1.40","7.963","25659421871.39","1378793866","-0.47%","-7.63%","3.52%","-6.72%","-3.60%","853.739","858.216","842.928"
