"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"1","BK2106","鞋类及配件","6984.013","+279.912","4.18%","-8.82%","-20.19%","17553796","1956633482","6776.596","1.02","30.050","234744565528.62","2081437948","3.13%","-0.84%","3.95%","-23.13%","-4.04%","6704.101","7030.865","6704.101"
"2","BK2452","美国基建股","1794.480","+66.336","3.84%","5.12%","11.10%","19311226","1704760995","1739.519","1.86","10.648","139490512559.68","1213791923","5.11%","1.71%","2.92%","14.99%","1.79%","1728.144","1805.674","1728.144"
"3","BK2487","热煤","1341.253","+38.902","2.99%","76.35%","100.75%","14309793","483245418","1291.856","5.19","11.423","12039027544.27","366022422","18.38%","24.02%","31.91%","115.79%","357.03%","1302.351","1344.839","1282.062"
"4","BK2485","海运","1976.051","+50.016","2.60%","13.27%","15.73%","49935443","922319298","1933.014","3.31","3.531","33993229134.84","2027864735","2.59%","-10.36%","-11.45%","41.77%","36.93%","1926.035","1981.352","1925.178"
"5","BK2471","农重工程机械","2090.477","+50.325","2.47%","4.25%","9.55%","34220542","2581836140","2044.325","0.95","21.034","342639691562.37","4538763248","5.15%","1.31%","2.41%","9.92%","2.94%","2040.152","2101.994","2040.139"
"6","BK2505","炼焦煤","2428.957","+49.822","2.09%","62.32%","80.08%","5096219","177661394","2380.211","2.02","14.991","6789981195.442","301815410","14.34%","13.09%","18.97%","71.85%","217.83%","2379.135","2460.584","2374.388"
"7","BK2263","住宿","1578.246","+30.265","1.96%","8.89%","0.66%","9492856","1229350115","1550.632","0.76","108.553","155798040217.5","1897541774","7.21%","2.04%","3.28%","4.44%","7.63%","1547.981","1586.397","1547.981"
"8","BK2270","金属制造","1347.392","+23.228","1.75%","10.45%","13.30%","9232554","258166545","1323.261","1.17","20.819","23666539078.18","918231358","7.93%","5.81%","2.91%","18.12%","11.90%","1324.164","1353.830","1321.819"
"9","BK2649","粮食紧缺","1522.362","+24.510","1.64%","16.66%","23.22%","38849967","4378512008.792","1499.945","0.00","0.000","0","0","5.49%","5.89%","11.87%","27.15%","22.33%","1497.852","1531.129","1497.852"
"10","BK2574","体育","1202.641","+19.355","1.64%","-6.10%","-11.97%","26181596","2886557538","1189.390","0.66","31.147","505886368786.42","4331856093","1.19%","0.65%","4.72%","-8.04%","5.80%","1183.286","1209.566","1183.286"
"11","BK2274","油气钻井","1276.800","+18.115","1.44%","54.14%","82.83%","22990696","263792779","1254.996","1.87","-2.835","18775858832.85","1388589549","10.32%","10.55%","17.76%","49.27%","265.41%","1258.685","1283.053","1251.548"
"12","BK2211","铝","1362.807","+17.622","1.31%","22.86%","27.33%","7469836","514445648","1344.996","0.91","26.023","32929927814.67","1113780761","3.05%","0.18%","6.46%","26.25%","75.42%","1345.185","1377.998","1344.996"
"13","BK2507","其他贵金属和采矿","616.767","+7.861","1.29%","4.31%","14.53%","11620024","56400978","608.617","0.66","-18.889","10094382508.351","2347005145","8.61%","8.57%","3.73%","12.19%","-16.25%","608.906","619.855","600.065"
"14","BK2007","农产品","1834.504","+21.504","1.19%","20.54%","25.77%","14007293","694834340","1818.182","0.81","15.600","122299795106.46","2273031367","3.43%","6.68%","12.16%","23.04%","35.30%","1813.000","1845.506","1812.369"
"15","BK2257","石油和天然气设备和服务","742.427","+8.503","1.16%","29.94%","53.67%","82265567","1620877139","731.310","1.22","-80.840","216105752158.119","8216529176","6.13%","5.51%","10.49%","36.78%","69.08%","733.924","747.009","727.792"
"16","BK2090","航空公司","2238.852","+25.557","1.15%","-1.60%","1.60%","114038601","3482304124","2228.327","3.04","-15.018","154100695770.737","4681508282","8.13%","2.28%","7.33%","-5.49%","-18.49%","2213.295","2265.952","2213.293"
"17","BK2581","枪械制造","3127.349","+26.597","0.86%","7.11%","-3.04%","2764524","147001771","3102.900","1.32","7.523","12274753007.4","228019036","6.30%","8.69%","8.00%","-2.26%","34.61%","3100.752","3169.822","3100.752"
"18","BK2583","核电","1015.919","+8.471","0.84%","11.38%","9.85%","1877923","147980772","1008.407","0.48","19.794","32136578092.84","425904000","0.85%","5.38%","9.84%","11.04%","8.22%","1007.448","1019.994","1007.448"
"19","BK2575","品牌服饰","1002.171","+8.038","0.81%","-10.83%","-17.82%","44485381","3603102307","998.631","0.77","44.101","570336738460.45","6380707420","1.16%","-2.03%","-1.32%","-18.87%","-16.64%","994.133","1010.804","994.133"
"20","BK2102","铁路","1788.910","+13.271","0.75%","-4.77%","-7.49%","23361016","2153535000","1775.443","0.47","23.960","501712300878.41","5197289681","-4.83%","-12.20%","-9.11%","-8.10%","-1.83%","1775.639","1796.044","1775.443"
"21","BK2010","农业投入","2882.676","+20.490","0.72%","39.94%","39.85%","21443492","1625012869","2860.909","0.71","22.089","201709542837.306","3824777828","5.07%","7.03%","13.06%","51.57%","62.16%","2862.186","2905.581","2853.645"
"22","BK2447","邮轮概念","581.554","+3.494","0.60%","-3.12%","2.24%","40564428","968739766","583.121","2.37","-2.623","53867852210.46","1897714327","4.74%","-2.08%","6.73%","-8.89%","-14.31%","578.060","596.563","578.060"
"23","BK2489","公用事业-管制气体","1080.346","+6.494","0.60%","15.12%","13.49%","9151176","479767192","1072.878","0.74","21.620","75653957976.14","1424115307","0.71%","1.42%","9.02%","18.69%","3.65%","1073.852","1084.785","1072.564"
"24","BK2092","医药零售商","621.385","+3.631","0.59%","-15.93%","-14.25%","91547440","594679171","618.230","9.10","24.594","40794175496.98","1257745645","-0.41%","-0.03%","-5.60%","-10.03%","-19.55%","617.754","629.534","617.754"
"25","BK2488","公用事业-综合性","1299.020","+6.999","0.54%","8.40%","6.97%","30931442","1102002526","1290.873","0.49","38.075","225014958169.32","7505684123","0.12%","1.54%","8.85%","7.87%","10.60%","1292.021","1306.504","1290.873"
"26","BK2464","饮料-酒厂和酿酒厂","1546.104","+7.613","0.49%","4.63%","-1.60%","6938481","643123096","1541.171","0.41","54.908","290140452943.66","2163409272","0.41%","6.73%","10.84%","8.12%","9.71%","1538.491","1550.899","1538.491"
"27","BK2462","公用事业-独立发电商","921.978","+4.235","0.46%","-3.60%","-10.76%","7119371","199459139","918.315","0.63","-25.073","31265132505.5","1402622040","1.17%","3.23%","2.49%","0.60%","1.37%","917.743","929.964","916.676"
"28","BK2498","旅行服务","1028.127","+4.696","0.46%","3.26%","0.94%","59476103","3545450777","1025.003","1.58","-17.099","361108135174.36","4605695708","2.87%","-2.36%","5.21%","-4.11%","-8.86%","1023.431","1050.730","1023.431"
"29","BK2046","度假村和赌场","4591.826","+20.400","0.45%","-9.07%","-12.90%","21898149","1010566099","4574.551","1.17","-85.901","122397879328.53","3164772175","2.26%","-5.40%","-5.43%","-18.38%","-30.25%","4571.426","4641.134","4571.431"
