"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"68","MSFT","微软","285.590","-2.910","-1.01%","30628012","8697433046","2141030083172.52","0.000","0.000","0","0","283.020","288.500","286.600","280.580","0.80","0.00%","2.09","35.477","0.41","-0.13","-0.17%","-3.49%","-3.06%","-8.04%","-15.68%","-4.39%","22.62%","-14.91%","软件-基础设施"
"69","SNY","赛诺菲安万特","51.400","-0.525","-1.01%","1226369","63015507","129894039446","0.000","0.000","0","0","50.950","51.925","51.810","50.950","0.41","0.00%","1.66","18.456","0.05","-0.05","-0.01%","2.43%","0.33%","-4.19%","5.39%","6.24%","9.51%","2.59%","药品制造商-通用"
"70","MA","万事达","324.590","-3.540","-1.08%","3771285","1219922716","317279077335.01","0.000","0.000","0","0","321.940","328.130","326.120","319.750","0.73","0.00%","1.94","37.053","0.39","-0.16","-0.24%","-4.81%","-12.13%","-14.89%","-5.88%","-5.13%","-14.55%","-9.55%","信贷服务"
"71","GS","高盛","329.900","-3.690","-1.11%","2232591","733134451","111480787803","0.000","0.000","0","0","327.630","333.590","331.840","324.760","0.69","0.00%","2.12","5.549","0.66","-0.24","-0.00%","-1.06%","-2.45%","-11.40%","-13.73%","-14.78%","-2.80%","-13.25%","资本市场"
"72","ABT","雅培","117.000","-1.390","-1.17%","4377620","511798782","206889575373","0.000","0.000","0","0","117.180","118.390","117.810","115.730","0.69","0.00%","1.76","29.695","0.25","-0.29","-0.24%","-3.28%","-1.45%","-10.34%","-13.64%","-7.04%","0.55%","-16.57%","医疗设备"
"73","JPM","摩根大通","131.860","-1.580","-1.18%","15604247","2054140381","388209026000","0.000","0.000","0","0","131.860","133.440","133.450","130.325","0.76","0.00%","2.34","8.584","0.53","-0.08","-0.03%","-4.65%","-8.78%","-15.80%","-16.00%","-15.37%","-13.10%","-16.23%","银行-综合性"
"74","GSK","葛兰素史克","40.830","-0.510","-1.23%","4858978","198327583","102753711659.61","0.000","0.000","0","0","40.720","41.340","41.098","40.440","0.63","0.00%","1.59","17.978","0.20","0.00","0.04%","-1.50%","-0.87%","-6.40%","-3.90%","7.74%","20.00%","-6.06%","药品制造商-通用"
"75","IBM","IBM Corp","124.350","-1.870","-1.48%","5326835","661552641","111517123522.5","0.000","0.000","0","0","125.750","126.220","126.030","123.125","1.10","0.00%","2.30","19.582","0.60","-0.10","-0.12%","-1.25%","1.95%","-8.67%","2.67%","-1.27%","6.21%","-5.84%","信息技术处"
"76","CRM","赛富时","200.150","-3.010","-1.48%","5604161","1118964557","197147750000","0.000","0.000","0","0","199.100","203.160","201.200","197.530","0.73","0.00%","1.81","135.236","0.59","-0.34","-0.31%","-2.25%","-2.03%","-9.86%","-24.69%","-23.18%","-5.94%","-21.24%","软件 - 应用"
"77","QCOM","高通","154.710","-2.400","-1.53%","8888772","1365251651","174358170000","0.000","0.000","0","0","154.040","157.110","155.300","150.330","0.78","0.00%","3.16","19.658","0.79","-0.36","-0.26%","-6.43%","-7.52%","-15.54%","-15.25%","16.73%","19.62%","-15.05%","半导体"
"78","NVDA","英伟达","226.580","-3.560","-1.55%","42806565","9572843271","566450000000","0.000","0.000","0","0","225.310","230.140","227.880","218.820","0.92","0.00%","3.94","58.851","1.79","-0.21","-0.32%","-4.45%","-4.57%","-15.14%","-19.53%","3.49%","71.89%","-22.95%","半导体"
"79","AVGO","博通","587.730","-9.290","-1.56%","1932364","1129018861","240741696855.66","0.000","0.000","0","0","585.560","597.020","590.020","576.370","0.65","0.00%","2.29","39.182","0.48","-0.21","-0.27%","1.58%","1.33%","-3.86%","-4.85%","17.75%","28.55%","-11.67%","半导体"
"80","CMCSA","康卡斯特","45.390","-0.730","-1.58%","18179456","824097658","205763324451.75","0.000","0.000","0","0","45.590","46.120","45.825","44.945","0.72","0.00%","1.91","14.930","0.40","-0.18","-0.01%","-3.67%","-1.35%","-8.80%","-4.39%","-19.77%","-19.65%","-9.37%","娱乐"
"81","FB","Meta Platforms","195.210","-3.290","-1.66%","24852975","4820639178","531350290011.6","0.000","0.000","0","0","194.840","198.500","196.280","191.068","0.73","0.00%","2.63","14.176","1.04","-0.24","-0.39%","-3.82%","-5.97%","-15.86%","-41.64%","-46.48%","-28.69%","-41.96%","互联网内容与信息"
