"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"201","BK2268","保安及保护服务","916.341","-12.416","-1.34%","-13.55%","-16.98%","17487909","179589796","927.391","1.84","212.881","33659507474.922","2051474946","-6.33%","-5.49%","-4.30%","-16.00%","-21.96%","928.757","929.627","913.738"
"202","BK2477","基础设施运作","1734.089","-24.717","-1.41%","0.36%","-4.88%","776073","19408261","1754.953","0.45","75.091","4917202647.74","204377151","-6.35%","-6.92%","-7.88%","-11.14%","-24.42%","1758.806","1772.907","1732.648"
"203","BK2506","电子与计算机分配","1650.001","-23.644","-1.41%","-13.27%","-14.31%","1501054","98026585","1670.490","0.67","11.585","14492164166.58","317091628","-5.93%","-11.30%","-8.26%","-4.03%","-6.73%","1673.645","1675.764","1648.564"
"204","BK2514","宅经济概念","1637.802","-24.018","-1.45%","-20.19%","-20.79%","111200783","22097643749","1659.862","0.93","26.851","3329243272692.2798","13607067013","-4.61%","-4.93%","9.17%","-27.50%","-27.77%","1661.820","1661.823","1635.774"
"205","BK2508","软件-基础设施","2503.198","-36.884","-1.45%","-8.50%","-13.56%","248573932","18772082746","2534.105","1.00","52.263","3649863610626.6074","35554597733","-4.23%","-2.21%","7.15%","-13.79%","6.60%","2540.082","2540.071","2499.188"
"206","BK2515","远程办公概念","2930.651","-44.110","-1.48%","-7.28%","-12.30%","28315188","7706933115","2965.232","0.37","36.623","2259517270619.8599","7795990391","-4.05%","-2.22%","6.13%","-5.28%","12.13%","2974.761","2974.761","2924.888"
"207","BK2121","老虎环球持仓","1948.039","-29.359","-1.48%","-15.64%","-18.69%","359769495","43570698856","1971.338","1.07","43.755","7635067484040.5996","51845834837","-4.95%","-3.51%","8.71%","-22.92%","-18.17%","1977.398","1977.347","1945.240"
"208","BK2982","美股新经济板块","2323.289","-35.834","-1.52%","-11.27%","-12.70%","531007307","79913832464","2353.306","0.81","28.668","13686383886761.18","70938593279","-3.95%","-4.47%","6.72%","-7.74%","1.68%","2359.123","2359.072","2320.103"
"209","BK2492","计算机硬件","1435.026","-22.289","-1.53%","-12.18%","-12.31%","69084537","2290280591","1454.929","1.16","13.859","234774585715.674","7098810575","-2.50%","-6.86%","1.19%","-13.86%","-11.13%","1457.315","1457.315","1432.505"
"210","BK2643","美国政客交易概念","1192.338","-18.680","-1.54%","-8.06%","-10.10%","237550515","59370117924","1207.842","0.59","31.559","10771742900530.4","40868230580","-3.88%","-3.72%","7.07%","-3.50%","9.83%","1211.018","1211.005","1190.669"
"211","BK2567","元宇宙概念","1783.671","-28.254","-1.56%","-11.93%","-13.48%","549977196","77432725183.062","1808.136","0.84","27.314","13153884190616.41","71587759721","-4.44%","-4.77%","6.45%","-9.76%","9.53%","1811.925","1811.910","1781.403"
"212","BK2557","巴美列捷福持仓","1659.241","-26.499","-1.57%","-13.32%","-15.33%","518352473","82087761727","1679.743","1.05","35.178","12418098494007.801","68163061453","-4.83%","-3.77%","8.85%","-15.08%","-6.49%","1685.740","1685.740","1657.229"
"213","BK2579","智能家居","1053.140","-16.883","-1.58%","-5.30%","-7.72%","110416191","31007855983","1068.494","0.42","31.832","8378218742637.8896","26388682293","-3.97%","-3.91%","6.53%","-0.14%","14.50%","1070.023","1070.023","1051.532"
"214","BK2475","REIT-酒店及汽车旅馆","882.519","-14.509","-1.62%","-5.71%","-3.95%","22548058","354482889","895.921","0.88","-14.121","41882416376.772","2655721525","-11.79%","-9.98%","-4.61%","-4.39%","-6.44%","897.028","901.505","880.908"
"215","BK2518","明星科技股","2591.549","-42.725","-1.62%","-10.28%","-11.27%","329369031","83402291898","2627.213","0.61","29.998","15296229943339.68","56404015644","-4.50%","-4.22%","7.32%","-6.43%","5.02%","2634.274","2634.255","2587.902"
"216","BK2560","寇图资本持仓","1574.910","-26.317","-1.64%","-17.44%","-19.95%","590474082","83796759836","1594.449","1.13","38.422","10321457093295.381","65621712815","-5.06%","-3.92%","9.79%","-20.05%","-12.28%","1601.227","1601.227","1573.024"
"217","BK2004","互联网内容与信息","7598.735","-127.041","-1.64%","-12.23%","-14.14%","222361779","16571514950","7712.200","1.84","24.967","4528028744572.748","18652292856","-4.34%","-4.57%","5.48%","-17.47%","-3.01%","7725.776","7725.776","7585.974"
"218","BK2498","旅行服务","982.887","-16.510","-1.65%","-6.08%","-3.50%","62946487","2894751721","995.118","1.68","-16.347","345218472261.816","4605695708","-7.07%","-2.53%","9.87%","-12.34%","-16.83%","999.397","999.397","971.770"
"219","BK2437","苹果概念","1697.544","-28.908","-1.67%","-19.27%","-17.44%","209627608","20478342001","1718.986","1.07","20.908","1952295274166.49","20140351797","-4.85%","-8.62%","-1.18%","-7.87%","-9.70%","1726.452","1726.355","1695.854"
"220","BK2540","云计算","2204.859","-37.604","-1.68%","-7.65%","-9.73%","74188866","22352401746","2237.719","0.50","30.987","6436381751061.625","17189963701","-4.75%","-4.67%","5.42%","-9.86%","1.36%","2242.463","2242.463","2201.228"
"221","BK2431","互联网零售","1686.812","-29.081","-1.69%","-12.69%","-12.62%","138034383","12925584365","1714.168","1.54","33.837","2220992731072.2061","15043873815","-5.33%","-6.23%","9.09%","-24.63%","-29.51%","1715.893","1715.894","1684.320"
"222","BK2520","SaaS概念","2374.198","-41.367","-1.71%","-11.74%","-17.36%","106850249","22514424370","2405.097","0.64","45.153","4031120903773.0098","18951035516","-4.56%","-2.29%","6.22%","-17.85%","-2.38%","2415.565","2415.451","2370.425"
"223","BK2119","景林资产持仓","1044.336","-18.221","-1.71%","-23.21%","-21.98%","177403445","29352901425","1055.460","1.31","39.584","2370163189862.0098","22076352927","-4.44%","-1.13%","23.65%","-33.53%","-39.62%","1062.557","1062.555","1043.333"
"224","BK2267","货车运输","1168.594","-21.390","-1.80%","-23.71%","-31.75%","18970477","1104236937","1184.364","1.65","20.968","65883824171.19","1704167450","-8.34%","-18.15%","-14.85%","-23.08%","-12.56%","1189.984","1189.985","1150.875"
"225","BK2439","搜索引擎","2778.930","-51.108","-1.81%","-6.17%","-8.05%","5763905","6038903747","2826.205","0.27","23.963","3655460652059.8799","2699476543","-4.78%","-5.56%","3.01%","-7.14%","16.18%","2830.038","2830.038","2773.624"
"226","BK2447","邮轮概念","544.947","-10.314","-1.86%","-11.95%","-4.20%","46255984","996369076","553.231","2.70","-2.458","50476997645.5","1897714327","-7.82%","0.36%","10.63%","-16.85%","-25.69%","555.261","555.261","538.184"
"227","BK2448","OLED概念","3109.924","-59.656","-1.88%","-23.92%","-22.97%","7552379","826645603","3145.302","0.54","17.482","119533365266.23","1692416807","-6.06%","-12.09%","-2.76%","-9.85%","-13.49%","3169.580","3169.580","3101.900"
"228","BK2123","高瓴资本持仓","2281.559","-44.523","-1.91%","-11.34%","-11.52%","218669382","13713044519","2323.627","1.60","101.632","2330863500122.1831","23235826717","-5.65%","-5.31%","8.31%","-7.87%","-7.82%","2326.082","2326.090","2278.764"
"229","BK2538","外卖概念","753.418","-15.066","-1.96%","-26.14%","-26.79%","21230141","927210467","759.359","1.00","-94.873","99734473372.99","2303373340","-11.32%","-3.68%","8.99%","-42.36%","-45.16%","768.484","773.127","746.237"
"230","BK2234","机场及航空服务","831.249","-17.858","-2.10%","-3.21%","-6.13%","12346701","144518414","849.784","1.79","7.847","25239153091.13","1378793866","-9.74%","-5.86%","9.51%","-9.28%","-8.33%","849.107","851.025","829.710"
"231","BK2543","次新股","740.895","-16.660","-2.20%","-30.40%","-38.80%","99832446","1270925093","755.424","3.99","-24.394","192384547825.12","13920048566","-9.28%","-12.16%","3.41%","-50.06%","-58.23%","757.555","759.169","734.325"
"232","BK2541","SPAC上市公司","1110.027","-25.148","-2.22%","-19.93%","-23.82%","39580608","324358428","1132.483","1.86","-21.011","26936148604.33","2893028320","-8.17%","-6.73%","6.43%","-38.53%","-44.33%","1135.175","1136.089","1108.087"
"233","BK2480","房地产-综合性","1295.972","-29.703","-2.24%","-0.43%","-0.85%","564229","42100028","1327.342","0.52","54.489","8936353073.05","178660957","-8.39%","-6.24%","1.53%","1.28%","-6.47%","1325.675","1330.060","1293.048"
"234","BK2470","软件 - 应用","1791.142","-41.881","-2.28%","-21.34%","-28.02%","304351680","15363541229","1817.729","1.26","-151.354","1893041644283.0007","38944936086","-7.54%","-5.18%","4.96%","-32.71%","-21.08%","1833.023","1832.839","1789.532"
"235","BK2468","汽车制造商","2260.399","-53.437","-2.31%","-17.58%","-13.30%","399098278","24049812777","2284.508","2.44","30.406","1736997152122.0801","23137184341","-6.14%","-1.49%","18.33%","-4.16%","-23.56%","2313.836","2313.836","2256.054"
"236","BK2542","昨日强势股","103.555","-2.470","-2.33%","-35.96%","-42.37%","682169883","4594406365.747","106.102","4.22","-0.413","84889654565.169","17736946299","2.36%","-4.90%","16.47%","-60.99%","-84.52%","106.025","106.789","103.424"
"237","BK2016","半导体设备与材料","7972.174","-199.133","-2.44%","-21.97%","-24.92%","24214284","3144675403","8117.412","0.85","25.911","557203196585.868","3028932986","-7.49%","-11.34%","1.41%","-17.33%","-10.27%","8171.307","8171.307","7964.088"
"238","BK2568","新能源车","2940.794","-73.456","-2.44%","-17.22%","-13.17%","240501609","23616016115","2974.878","1.84","37.835","1665077727769.8899","17710148730","-6.18%","-1.43%","19.03%","-0.05%","14.56%","3014.250","3014.250","2935.563"
"239","BK2450","光伏太阳能","3641.672","-91.897","-2.46%","-17.18%","-17.09%","28097880","2105281580","3708.277","1.12","24.616","225594298993.28","2696499704","-5.60%","-8.76%","0.42%","-7.74%","-7.63%","3733.569","3733.569","3636.768"
"240","BK2015","半导体","3883.751","-99.850","-2.51%","-18.93%","-18.96%","294645141","33664842973","3958.222","1.14","25.940","2575358026930.1899","29014608094","-7.57%","-11.63%","-0.24%","-5.06%","1.85%","3983.601","3983.433","3880.602"
"241","BK2594","量子计算概念","1159.652","-31.815","-2.67%","-16.87%","-33.63%","1514880","18344291","1180.940","0.94","-9.656","4169610286.98","346901739","-8.03%","-11.78%","3.62%","4.15%","19.12%","1191.467","1191.956","1152.798"
"242","BK2555","WSB热门概念","899.815","-26.490","-2.86%","-23.84%","-28.90%","367742397","4717691182","916.521","2.46","-28.158","188051616445.248","20361362084","-8.67%","-5.74%","7.63%","-38.94%","-46.11%","926.305","926.304","894.906"
"243","BK2551","ARK ETF合集","1795.256","-54.277","-2.93%","-24.64%","-32.04%","27622427","1582547232","1841.091","6.87","0.000","20291601000","402300000","-9.32%","-5.56%","8.87%","-44.39%","-48.47%","1849.533","1849.533","1790.399"
"244","BK2553","3D打印","805.683","-24.427","-2.94%","-15.45%","-19.39%","9364855","99158990","829.760","1.06","-16.820","11843954571.44","1157018411","-11.84%","-10.44%","0.19%","-30.00%","-40.70%","830.110","830.110","803.955"
"245","BK2521","IDC概念","2686.685","-82.747","-2.99%","-16.76%","-19.36%","174842163","23489090505","2742.782","1.90","30.646","1103123619051.8999","9461569530","-9.07%","-12.81%","3.28%","-2.75%","17.43%","2769.432","2769.432","2681.032"
"246","BK2262","卫生信息服务","1302.752","-40.418","-3.01%","-19.66%","-26.12%","34287937","991933561","1339.667","0.70","-66.449","182315030896.412","7912373038","-14.03%","-8.57%","-1.37%","-34.95%","-36.81%","1343.170","1343.167","1302.020"
"247","BK2548","AI","7184.999","-222.954","-3.01%","-18.73%","-22.77%","99758227","14239771268.491","7337.870","1.03","51.539","900826550091.0501","10406242906","-10.50%","-12.41%","4.28%","-1.68%","24.79%","7407.953","7407.953","7178.095"
"248","BK2644","马斯克概念股","1376.197","-43.691","-3.08%","-3.94%","-3.97%","127406552","27494743315.086","1404.392","4.00","113.188","1340687145318.8799","3996676080","-4.51%","1.04%","21.69%","15.87%","26.17%","1419.888","1419.888","1375.174"
"249","BK2576","物联网","737.245","-24.127","-3.17%","-19.69%","-18.34%","77182127","14776238965","755.009","1.55","27.097","906848269536.552","6034410923","-10.85%","-13.73%","9.19%","-15.16%","-59.73%","761.372","761.372","736.510"
"250","BK2438","直播概念","758.395","-25.039","-3.20%","-27.75%","-28.63%","21998086","431699009","777.865","2.52","-24.268","29174324036.25","1777872545","-4.05%","-3.27%","21.58%","-49.72%","-61.43%","783.434","787.101","757.830"
"251","BK2558","软银资本持仓","2181.350","-81.621","-3.61%","-13.57%","-18.01%","112444942","13746757459","2240.926","2.31","88.344","816496899240.6899","6634617985","-10.57%","-11.90%","5.10%","-4.80%","-0.53%","2262.971","2262.971","2178.586"
"252","BK2569","基因编辑","894.870","-34.096","-3.67%","-25.41%","-35.08%","5754817","191661633","929.364","1.30","-10.015","15440447973.99","507087360","-11.92%","-6.63%","-1.41%","-46.37%","-43.60%","928.966","937.062","882.590"
"253","BK2592","特朗普概念","1478.418","-57.350","-3.73%","10.71%","5.93%","86674460","3939516546","1515.607","10.45","-132.832","38950262285.04","935106420","14.29%","15.13%","32.92%","-25.82%","-31.43%","1535.768","1545.875","1466.179"
"254","BK2547","充电桩","5649.390","-243.451","-4.13%","1.20%","-11.99%","14600463","188697828","5887.994","2.22","-26.734","14279512525.03","1155266491","-8.53%","-6.72%","1.65%","-10.53%","-34.97%","5892.841","5892.841","5643.253"
"255","BK2546","氢能源","3938.150","-173.785","-4.23%","7.62%","-5.05%","27182644","516524004","4103.242","2.66","-27.792","21021727774.61","1122323656","-7.98%","-7.52%","1.82%","-18.72%","-14.73%","4111.935","4111.935","3930.480"
"256","BK2544","固态电池","1498.843","-66.791","-4.27%","-16.21%","-21.20%","9847421","96523652","1533.283","2.75","-36.914","7907855940.1","564533585","-11.16%","3.63%","19.84%","-29.74%","-57.43%","1565.634","1565.634","1491.685"
"257","BK2047","太阳能","4908.958","-253.648","-4.91%","5.57%","-4.58%","29201661","1053611501","5111.364","2.48","-3153.228","72694308547.34","1540773583","-7.17%","-6.75%","1.53%","-15.55%","-13.22%","5162.606","5162.602","4903.630"
"258","BK2539","激光雷达概念","768.761","-41.748","-5.15%","-19.59%","-26.01%","8327456","52853509","807.519","1.35","-8.878","6287668315.28","846349522","-12.15%","-5.79%","3.36%","-29.95%","-49.50%","810.509","810.509","767.468"
"259","BK2102","铁路","1756.309","-123.451","-6.57%","-8.45%","-9.18%","24114279","2000385841","1762.132","0.49","23.550","493021750905.66","5191538545","-9.52%","-13.89%","-8.95%","-6.18%","-4.71%","1879.760","1779.349","1735.457"
