"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"112","BK2466","REIT-工业","2306.891","-9.209","-0.40%","5.39%","-2.02%","28255882","1434535670","2316.116","0.92","40.797","340983965346.0901","3148048319","1.09%","6.45%","11.13%","15.37%","42.54%","2316.100","2317.994","2294.888"
"113","BK2572","风电","511.548","-2.135","-0.42%","4.98%","-1.19%","10935425","839275184","514.666","0.32","32.714","304157405209.3401","3728999402","1.15%","3.90%","8.47%","9.61%","11.10%","513.683","515.994","509.183"
"114","BK2490","金融数据与证券交易所","1839.277","-8.036","-0.44%","-3.83%","-8.29%","9926727","2265022816","1848.481","0.58","29.904","467704454643.14","1788121876","0.47%","0.36%","8.36%","-8.89%","4.19%","1847.313","1856.099","1837.577"
"115","BK2496","人员配置和就业服务","1811.624","-8.131","-0.45%","-0.25%","-5.32%","16627008","1312639827","1818.625","0.94","39.426","208842292995.849","2426255442","-0.26%","4.92%","13.89%","-4.08%","19.68%","1819.755","1828.649","1809.454"
"116","BK2483","建筑产品和设备","2085.026","-10.784","-0.51%","-22.21%","-25.93%","22853269","1043673944","2095.878","0.85","16.633","140898990224.765","3171910638","-6.91%","-8.37%","-7.49%","-19.15%","-17.28%","2095.810","2135.790","2079.221"
"117","BK2270","金属制造","1241.700","-6.638","-0.53%","0.72%","4.41%","7156910","208606402","1250.755","0.91","19.327","21771604797.445","917463984","-4.03%","-5.05%","-1.48%","7.70%","-0.52%","1248.338","1258.317","1238.334"
"118","BK2434","腾讯概念","2406.775","-12.908","-0.53%","-29.90%","-27.01%","165824459","3368060701","2410.003","2.57","-108.764","240094899889.42","11600620135","-3.36%","-2.70%","26.85%","-44.79%","-59.38%","2419.683","2601.869","2374.557"
"119","BK2245","产业布局","1726.924","-9.339","-0.54%","-10.35%","-13.99%","7951180","712286669","1737.165","0.67","24.789","141761176950.96","1492782875","-3.04%","-2.40%","1.83%","-1.93%","15.99%","1736.263","1741.641","1718.686"
"120","BK2620","安联持仓","936.362","-5.232","-0.56%","-7.24%","-8.43%","39366137","3003902820","938.516","2.75","0.000","95064891700","1430200000","-2.06%","-1.21%","-1.97%","-8.90%","-8.24%","941.594","941.596","935.354"
"121","BK2998","双十一","740.085","-4.295","-0.58%","-25.23%","-15.92%","60390071","3532898492","743.654","1.30","18.357","446868995170.8","7455856547","-4.90%","-6.96%","20.25%","-39.08%","-54.30%","744.380","758.806","737.137"
"122","BK2474","专业商业服务","1784.076","-10.479","-0.58%","-5.24%","-8.32%","31912831","1206433279","1794.781","1.63","22.354","189690112315.39","3028947270","-1.27%","0.41%","7.05%","-9.17%","-10.10%","1794.555","1804.270","1782.178"
"123","BK2216","企业集团","1016.612","-5.973","-0.58%","-13.13%","-10.59%","9999650","1102369535","1025.878","0.54","22.073","257011852897.622","2345456442","-1.72%","-2.03%","4.19%","-13.12%","-6.68%","1022.585","1029.977","1015.211"
"124","BK2532","文艺复兴科技持仓","2066.802","-12.304","-0.59%","-2.04%","-2.47%","743392411","100783456897","2076.769","0.68","20.938","19218661434839.898","118215064364","-1.58%","-1.58%","8.17%","4.87%","17.91%","2079.106","2083.453","2063.964"
"125","BK2443","挪威政府全球养老基金持仓","2001.765","-11.923","-0.59%","-4.72%","-5.40%","636776389","94473997528","2011.500","0.52","22.193","22359524728868.078","125838332820","-2.00%","-2.15%","6.83%","0.29%","10.42%","2013.688","2018.596","1998.998"
"126","BK2597","贝莱德持仓","1222.350","-7.446","-0.61%","-5.85%","-6.85%","979976976","158859207480","1227.988","0.61","24.177","29689544346117.742","166756982135","-1.88%","-1.82%","6.97%","2.49%","6.57%","1229.796","1232.448","1220.257"
"127","BK2599","领航投资持仓","1220.813","-7.469","-0.61%","-5.86%","-6.78%","956226771","157364830435","1226.500","0.60","24.335","29578490990465.676","165310176626","-1.88%","-1.87%","6.86%","2.01%","5.61%","1228.282","1230.853","1218.653"
"128","BK2619","道富环球持仓","1223.016","-7.495","-0.61%","-5.67%","-6.56%","959771494","157629220126","1228.764","0.60","24.166","29638592038807.379","166070239764","-1.85%","-1.81%","6.91%","-0.83%","6.04%","1230.511","1233.045","1220.975"
"129","BK2433","社交媒体","1761.842","-10.857","-0.61%","-30.26%","-31.51%","135643862","9137354021","1767.116","2.63","20.160","751836396365.35","6548354775","-1.00%","0.60%","18.73%","-36.25%","-30.84%","1772.699","1785.289","1748.304"
"130","BK2534","AQR资本管理(全球第二大对冲基金)","2559.156","-15.803","-0.61%","-5.23%","-6.54%","526200448","103981289444","2571.315","0.51","23.432","20620635059827.23","109236227513","-1.46%","-1.16%","8.08%","0.23%","8.18%","2574.959","2580.147","2555.440"
"131","BK2464","饮料-酒厂和酿酒厂","1530.384","-9.463","-0.61%","1.77%","-2.60%","4954833","500346143","1535.626","0.30","39.645","287188839577.49","2163390957","4.46%","6.37%","17.29%","8.36%","13.26%","1539.847","1544.675","1526.079"
"132","BK2630","法通保险持仓","1225.887","-7.582","-0.61%","-6.08%","-7.12%","961732436","156811435975","1231.721","0.58","23.914","29671874950770.727","171666054634","-1.93%","-1.89%","6.81%","-1.29%","5.59%","1233.469","1236.011","1223.685"
