"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"50","ACH","中国铝业","14.530","1.61%","858448","14.450","134.537","9893577518.54","6516786266.29","-3.33%","-3.58%","-1.02%","-5.95%","-22.26%","22.10%","5.83%","铝"
"51","CTK","触宝","0.240","1.44%","415093","0.230","亏损","17462561.52","6628347.12","-4.57%","-9.43%","7.62%","-47.64%","-77.78%","-88.84%","-60.93%","软件 - 应用"
"52","SNP","中石化","51.150","1.41%","3935954","50.680","5.482","61927923915","18650832786.3","-1.22%","5.94%","15.65%","-0.08%","-1.04%","1.76%","9.98%","油气一体化"
"53","WAFU","华富教育","2.890","1.40%","109171","2.860","18.062","12831845.65","3583889","-6.77%","-12.95%","-19.50%","-22.93%","-51.83%","-65.55%","-27.57%","教育及培训服务"
"54","JOBS","前程无忧","60.950","1.33%","286797132","60.380","41.462","4110297888.55","1778727193.85","1.13%","12.77%","10.36%","21.90%","-8.12%","-2.09%","24.57%","人员配置和就业服务"
"55","HUIZ","慧择","1.265","1.20%","5001","1.230","亏损","65574938.44","29659918.64","-6.99%","-12.76%","67.57%","-9.64%","-40.89%","-83.68%","-11.54%","保险经纪"
"56","EDU","新东方","12.030","1.09%","153954337","11.510","6.015","2041450314.54","1760147627.58","-0.58%","-4.52%","17.94%","-37.99%","-49.03%","-91.81%","-42.71%","教育及培训服务"
"57","MOXC","魔线","1.990","1.02%","3592711","1.910","497.500","38489642.71","21428970.73","27.56%","19.16%","33.88%","-33.00%","-70.08%","-51.70%","-30.42%","广告公司"
"58","WEI","微贷网","1.050","0.96%","173442","1.000","亏损","14796905.55","5045180.7","-26.57%","-16.01%","-12.50%","-72.00%","-72.58%","-82.05%","-72.00%","信贷服务"
"59","ZTO","中通快递","25.660","0.94%","95904008","25.300","28.197","20744783095.74","10307420312.4","0.53%","1.91%","14.32%","-17.99%","-16.54%","-12.30%","-8.17%","综合货运物流"
"60","RETO","瑞图生态","1.070","0.94%","60081","1.080","亏损","32670429.84","19544582.55","-5.31%","-13.01%","-6.96%","-24.11%","32.52%","-13.01%","-37.06%","建筑材料"
"61","DAO","有道","7.630","0.93%","803167","7.520","亏损","961146872.98","256647975.22","-1.80%","-7.06%","2.01%","-48.17%","-36.36%","-68.64%","-38.86%","软件 - 应用"
"62","EZGO","易电行","1.130","0.89%","25695","1.140","亏损","15398386.83","7339574.87","-10.32%","-7.38%","10.78%","-13.74%","-61.56%","-80.98%","-24.16%","休闲车"
"63","PHCF","普惠财富","0.849","0.89%","45445","0.841","亏损","11179783.797","3849226.693","-9.05%","-11.58%","-0.13%","-36.65%","-55.79%","-81.70%","-43.41%","资产管理"
"64","PTR","中石油","52.750","0.88%","6333057","52.200","6.711","96543565789.5","15383340075","2.09%","0.40%","6.46%","6.35%","1.34%","57.06%","19.32%","油气一体化"
"65","LITB","兰亭集势","1.150","0.88%","79703","1.130","9.583","128914603.25","62677526.55","7.48%","8.49%","19.79%","5.50%","-30.72%","-57.41%","13.86%","互联网零售"
"66","DOGZ","多尼斯","5.950","0.85%","2958952","5.950","119.000","212045469.3","158084919.3","-4.03%","31.06%","41.00%","104.47%","67.13%","265.03%","-29.25%","家庭及个人产品"
